Full_Name,Annual_Income,Loan_Amount,Credit_Score,Employment_Type,Loan_Term,Existing_Loans,Approval_Status
User_1,141958,40743,823,Salaried,3,Yes,Approved
User_2,35795,11102,645,Salaried,9,No,Approved
User_3,20860,24778,345,Self-Employed,28,Yes,Rejected
User_4,123694,31641,845,Salaried,10,No,Approved
User_5,148106,39584,377,Salaried,14,No,Rejected
User_6,139879,37745,372,Salaried,11,Yes,Rejected
User_7,130268,28093,548,Self-Employed,18,Yes,Approved
User_8,96820,5569,346,Self-Employed,22,Yes,Rejected
User_9,74886,43210,420,Self-Employed,12,No,Rejected
User_10,26265,39663,513,Self-Employed,23,Yes,Approved
User_11,102386,41631,538,Self-Employed,12,No,Approved
User_12,148214,12455,355,Self-Employed,13,No,Rejected
User_13,57194,9014,649,Self-Employed,25,Yes,Approved
User_14,107498,16093,406,Salaried,13,Yes,Rejected
User_15,132727,23070,347,Salaried,19,Yes,Rejected
User_16,146324,40777,636,Self-Employed,26,Yes,Approved
User_17,64131,21538,325,Salaried,19,Yes,Rejected
User_18,80263,15729,556,Salaried,23,Yes,Approved
User_19,36023,39177,307,Self-Employed,14,No,Rejected
User_20,61090,5784,552,Salaried,4,No,Approved
User_21,87221,32751,602,Salaried,13,No,Approved
User_22,84820,45864,355,Salaried,8,Yes,Rejected
User_23,20769,45328,825,Salaried,29,No,Rejected
User_24,79735,17533,773,Salaried,23,No,Approved
User_25,82955,45111,327,Self-Employed,21,No,Rejected
User_26,84925,44974,377,Self-Employed,23,No,Rejected
User_27,141637,10801,515,Self-Employed,19,No,Approved
User_28,87969,24190,685,Salaried,12,Yes,Approved
User_29,25311,43754,664,Self-Employed,18,Yes,Approved
User_30,123355,34592,825,Salaried,6,No,Approved
User_31,124724,15647,611,Salaried,18,No,Approved
User_32,103104,13716,306,Salaried,19,No,Rejected
User_33,73707,28355,302,Salaried,22,Yes,Rejected
User_34,105305,27009,662,Self-Employed,5,Yes,Approved
User_35,48693,29376,807,Self-Employed,24,No,Approved
User_36,91932,9780,573,Salaried,9,Yes,Approved
User_37,147723,7368,805,Self-Employed,27,Yes,Approved
User_38,113016,17039,314,Salaried,3,No,Rejected
User_39,126970,11655,491,Self-Employed,28,Yes,Rejected
User_40,45658,45941,784,Self-Employed,10,Yes,Approved
User_41,104478,9495,327,Salaried,19,No,Rejected
User_42,142537,15893,338,Self-Employed,3,Yes,Rejected
User_43,38431,30547,572,Salaried,29,Yes,Approved
User_44,22747,27386,530,Self-Employed,29,No,Approved
User_45,143855,18403,385,Salaried,22,Yes,Rejected
User_46,79150,37097,773,Salaried,15,Yes,Approved
User_47,85725,18121,425,Self-Employed,1,No,Rejected
User_48,149981,15966,836,Self-Employed,7,No,Approved
User_49,104654,38621,444,Salaried,12,No,Rejected
User_50,55773,33312,824,Self-Employed,17,Yes,Approved
User_51,139346,27677,511,Self-Employed,21,No,Approved
User_52,87435,36289,324,Salaried,26,Yes,Rejected
User_53,76886,36024,693,Salaried,29,No,Approved
User_54,86803,47675,366,Self-Employed,24,Yes,Rejected
User_55,51551,9777,532,Salaried,20,No,Approved
User_56,136216,34749,408,Salaried,5,No,Rejected
User_57,31394,20338,445,Salaried,4,No,Rejected
User_58,89092,7491,410,Self-Employed,28,No,Rejected
User_59,23890,32236,527,Self-Employed,12,Yes,Approved
User_60,61606,19599,410,Salaried,20,No,Rejected
User_61,116276,24508,769,Self-Employed,28,No,Approved
User_62,145768,8051,333,Salaried,24,Yes,Rejected
User_63,100038,26606,668,Self-Employed,18,No,Approved
User_64,107313,26699,724,Salaried,17,Yes,Approved
User_65,30627,5876,817,Salaried,19,No,Approved
User_66,28792,37093,581,Self-Employed,9,No,Approved
User_67,128859,9142,619,Salaried,4,No,Approved
User_68,128557,20202,742,Self-Employed,26,Yes,Approved
User_69,93969,44734,614,Self-Employed,21,No,Approved
User_70,63001,12079,676,Salaried,2,No,Approved
User_71,96552,12987,588,Salaried,4,No,Approved
User_72,43897,44567,736,Self-Employed,2,Yes,Approved
User_73,88148,33940,576,Salaried,15,Yes,Approved
User_74,141729,42233,802,Salaried,2,No,Approved
User_75,144243,22019,815,Salaried,4,Yes,Approved
User_76,140923,23077,649,Salaried,6,No,Approved
User_77,140174,31258,745,Salaried,7,No,Approved
User_78,43483,26136,649,Self-Employed,10,No,Approved
User_79,144358,13311,436,Self-Employed,19,No,Rejected
User_80,68555,22214,542,Salaried,19,No,Approved
User_81,145436,19098,842,Salaried,26,No,Approved
User_82,37159,33251,339,Salaried,22,No,Rejected
